flux,time
-0.094674413,19058.275
-0.24651546,19081.751
-0.288151508,19105.232
-0.280990581,19128.719
-0.276976009,19152.199
-0.268488559,19175.678
-0.278053202,19199.158
-0.277544107,19222.642
-0.278928892,19246.123
-0.246453584,19269.6
-0.259459027,19293.085
-0.245642236,19316.562
-0.244208043,19340.039
-0.248953744,19363.524
-0.237879167,19386.999
-0.239038515,19410.482
-0.239276359,19433.963
-0.261871789,19457.446
-0.249036136,19480.929
-0.251114746,19504.406
-0.234244592,19527.886
-0.223927991,19551.364
-0.236588134,19574.843
-0.241428297,19598.327
-0.257259819,19621.806
-0.231129651,19645.284
-0.231936753,19668.765
-0.223540962,19692.249
-0.216183499,19715.724
-0.220258159,19739.206
-0.213256506,19762.689
-0.204910651,19786.171
-0.191759919,19809.651
-0.178317629,19833.129
-0.168184669,19856.606
-0.181313607,19880.084
-0.170269716,19903.563
-0.174184993,19927.05
-0.147882272,19950.527
-0.142334047,19974.008
-0.141232032,19997.491
-0.129398598,20020.969
-0.125727546,20044.455
-0.120452266,20067.937
-0.114282184,20091.417
-0.107936156,20114.899
-0.099616987,20138.379
-0.104090673,20161.86
-0.091811994,20185.339
-0.087790123,20208.82
-0.092410025,20232.302
-0.080823429,20255.778
-0.07759259,20279.256
-0.058809657,20302.738
-0.065350659,20326.22
-0.050241488,20349.696
-0.047901057,20373.178
-0.041339508,20396.659
-0.032498137,20420.14
-0.013934308,20443.621
-0.019636898,20467.103
-0.027630764,20490.58
-0.005619402,20514.056
0.001981,20537.537
0.00435644,20561.019
0.000347533,20584.495
0.020446051,20607.977
0.018658331,20631.461
0.039362251,20654.939
0.040486738,20678.421
0.050242001,20701.901
0.048714816,20725.377
0.050633014,20748.859
0.076958924,20772.339
0.074372776,20795.823
0.074389811,20819.3
0.083824429,20842.777
0.106864702,20866.26
0.109020185,20889.737
0.109078171,20913.212
0.110210969,20936.693
0.123956953,20960.169
0.130330297,20983.653
0.140124439,21007.138
0.135253972,21030.62
0.146294276,21054.101
0.148860253,21077.583
0.146956072,21101.061
0.157705329,21124.546
0.170896321,21148.024
0.178495225,21171.508
0.195650546,21194.984
0.188132285,21218.46
0.18801679,21241.941
0.185965358,21265.426
0.208729285,21288.909
0.219046353,21312.391
0.228979603,21335.874
0.2128513,21359.359
0.230210587,21382.841
0.237628973,21406.323
0.219400792,21429.806
0.262800733,21453.285
0.254255823,21476.765
0.257609627,21500.246
0.247492279,21523.723
0.28464059,21547.203
0.27254137,21570.684
0.287366194,21594.16
0.266740427,21617.642
0.249147508,21641.124
0.251367953,21664.603
0.24724106,21688.085
0.255781774,21711.566
0.28309593,21735.046
0.305376919,21758.521
0.305482849,21782.003
0.312957532,21805.484
0.326356467,21828.96
0.322028565,21852.437
0.305045081,21875.919
0.337193706,21899.399
0.314662754,21922.877
0.318046114,21946.36
0.30880692,21969.841
0.289181023,21993.323
0.27807283,22016.804
0.307451361,22040.283
0.306729648,22063.761
0.350104077,22087.24
0.309942032,22110.717
0.360341106,22134.199
0.335944361,22157.678
0.340952207,22181.161
0.327002728,22204.644
0.304106558,22228.12
0.319971023,22251.6
0.337750132,22275.08
0.337151994,22298.558
0.376077603,22322.042
0.371363238,22345.52
0.339321454,22369.008
0.357800857,22392.484
0.350994811,22415.959
0.366344238,22439.442
0.339066179,22462.921
0.348970652,22486.397
0.340810803,22509.878
0.357904409,22533.356
0.342195086,22556.835
0.338929604,22580.318
0.297957355,22603.802
0.336640291,22627.284
0.35410214,22650.765
0.304278239,22674.245
0.327767249,22697.725
0.278578732,22721.204
0.293342905,22744.684
0.269618912,22768.167
0.28944277,22791.644
0.306694354,22815.13
0.300980936,22838.614
0.292167037,22862.09
0.2705285,22885.574
0.262389001,22909.056
0.250634847,22932.532
0.218291384,22956.015
0.26140737,22979.493
0.275974783,23002.979
0.216604785,23026.466
0.242247936,23049.947
0.256919434,23073.426
0.235318001,23096.903
0.22292985,23120.385
0.233893061,23143.868
0.219480121,23167.344
0.215320243,23190.826
0.199812661,23214.31
0.200408094,23237.792
0.206568633,23261.274
0.184291985,23284.752
0.193946404,23308.231
0.157427144,23331.709
